"trial","ref_position","var_area","response","correct","rt"
1,"L",10.4769105133601,"R",TRUE,8.04399991035461
2,"L",11.2289653012995,"R",TRUE,2.2810001373291
3,"L",12.8170133735985,"R",TRUE,1.08299994468689
4,"L",9.92654811777174,"L",FALSE,0.688999891281128
5,"R",13.4070035712793,"R",FALSE,0.979000091552734
6,"R",8.84204025799409,"L",FALSE,2.68799996376038
7,"R",9.91164120030589,"R",FALSE,0.878000020980835
8,"R",11.8702172804624,"R",FALSE,3.38399982452393
9,"R",10.0893232305534,"L",TRUE,0.881999969482422
10,"L",13.7349463091232,"L",FALSE,0.760999917984009
11,"R",11.7732414202765,"R",FALSE,0.980000019073486
12,"L",8.90946216369048,"R",FALSE,0.665999889373779
13,"R",9.95249547204003,"L",TRUE,0.677999973297119
14,"L",13.8504291709978,"L",FALSE,0.884000062942505
15,"L",9.29771463409998,"R",TRUE,0.96999979019165
16,"R",13.1731889480725,"R",FALSE,0.883000135421753
17,"L",8.42482813028619,"L",TRUE,0.971000194549561
18,"R",10.664851129055,"R",FALSE,0.788000106811523
19,"L",14.9724584002979,"L",FALSE,0.774999856948853
20,"R",12.0868001829367,"R",FALSE,0.779000043869019
21,"R",14.6477099701297,"L",TRUE,0.789999961853027
22,"R",9.77034117374569,"R",FALSE,0.59499979019165
23,"L",10.0554026509635,"L",FALSE,0.687999963760376
24,"L",13.3385235264432,"R",TRUE,0.684999942779541
24,"L",13.3385235264432,"R",TRUE,0.684999942779541
